,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
52605,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
52610,Blue,Loss,False,False,False,False,False,True,1,0,0,0,1
52615,Red,Win,True,True,True,False,True,False,7,2,0,3,0
52620,Blue,Loss,True,False,False,False,False,False,0,0,0,0,0
52625,Red,Win,False,True,True,False,True,True,10,2,0,2,1
52630,Blue,Win,False,False,True,True,True,True,11,3,1,3,1
52635,Red,Loss,True,True,False,False,False,False,3,0,0,2,0
52640,Blue,Loss,False,True,True,True,True,True,8,2,1,3,1
52645,Red,Win,True,False,False,False,False,False,7,1,1,3,1
52650,Blue,Loss,False,False,False,False,False,False,1,0,0,1,0
52655,Red,Win,True,True,True,True,True,True,10,2,2,4,1
52660,Blue,Loss,False,False,False,False,True,False,0,0,0,1,0
52665,Red,Win,True,True,False,False,False,True,4,0,0,2,2
52670,Blue,Loss,True,False,False,False,False,False,2,0,0,0,0
52675,Red,Win,False,True,True,True,True,True,11,1,1,4,2
52680,Blue,Win,True,True,True,False,True,True,7,2,0,4,2
52685,Red,Loss,False,False,False,False,False,False,1,0,0,0,0
52690,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
52695,Red,Win,True,True,False,False,True,True,4,0,0,2,1
52700,Blue,Loss,True,True,False,False,True,True,1,0,0,1,1
52705,Red,Win,False,False,False,False,False,False,3,0,0,2,1
52710,Blue,Loss,False,False,False,False,False,False,1,0,0,0,0
52715,Red,Win,True,True,True,True,True,True,7,1,1,4,1
52720,Blue,Loss,False,True,False,False,True,True,4,0,0,2,1
52725,Red,Win,True,False,True,True,False,False,6,1,1,3,0
52730,Blue,Loss,False,True,True,True,False,True,7,2,1,2,1
52735,Red,Win,True,False,False,False,True,False,7,1,1,2,0
52740,Blue,Loss,False,False,False,False,False,True,1,0,0,0,2
52745,Red,Win,True,True,True,False,True,False,5,1,0,2,0
52750,Blue,Win,True,True,True,True,False,True,11,3,1,3,1
52755,Red,Loss,False,False,False,False,True,False,1,0,0,1,1
52760,Blue,Loss,False,False,False,False,False,False,0,0,0,1,0
52765,Red,Win,True,True,True,True,True,True,11,4,1,4,2
52770,Blue,Win,True,False,True,False,True,True,7,1,0,4,1
52775,Red,Loss,False,True,False,True,False,False,3,0,1,0,0
52780,Blue,Win,False,False,False,True,False,False,3,0,1,3,0
52785,Red,Loss,True,True,False,False,True,False,4,0,0,2,0
52790,Blue,Loss,True,False,False,False,False,False,2,0,0,1,0
52795,Red,Win,False,True,True,True,True,True,9,1,1,4,1
52800,Blue,Win,True,True,True,True,False,False,6,1,1,3,0
52805,Red,Loss,False,False,False,False,True,True,3,0,0,1,1
52810,Blue,Loss,False,False,False,False,False,False,3,0,0,3,0
52815,Red,Win,True,True,True,True,True,True,8,1,2,1,1
52820,Blue,Loss,False,False,False,False,False,True,3,0,0,0,1
52825,Red,Win,True,True,True,True,True,False,9,2,1,3,1
52830,Blue,Loss,False,False,False,False,False,False,1,0,0,0,0
52835,Red,Win,True,True,True,True,True,True,11,3,1,4,2
52840,Blue,Loss,False,False,False,False,False,False,2,0,0,0,0
52845,Red,Win,True,True,True,True,True,True,7,1,1,4,2
52850,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
52855,Red,Win,True,True,False,False,True,True,5,0,0,2,1
52860,Blue,Loss,True,False,False,False,True,False,0,0,0,1,0
52865,Red,Win,False,True,False,False,False,True,1,0,0,0,1
52870,Blue,Win,True,True,True,False,True,True,7,1,0,3,1
52875,Red,Loss,False,False,False,True,False,False,5,0,1,1,0
52880,Blue,Loss,True,False,False,False,False,True,0,0,0,0,1
52885,Red,Win,False,True,False,False,True,False,1,0,0,2,0
52890,Blue,Win,True,True,True,False,True,True,6,1,0,3,1
52895,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
52900,Blue,Win,True,True,False,False,False,True,3,0,0,1,2
52905,Red,Loss,False,False,False,False,True,False,2,0,0,2,0
52910,Blue,Loss,False,False,False,False,True,False,1,0,0,1,1
52915,Red,Win,True,True,False,False,False,True,5,0,0,1,1
52920,Blue,Win,True,False,True,True,True,False,9,1,1,3,0
52925,Red,Loss,False,True,False,False,False,True,2,0,0,1,1
52930,Blue,Win,False,False,True,False,False,False,5,1,0,1,0
52935,Red,Loss,True,True,False,False,True,True,2,0,0,2,1
52940,Blue,Loss,False,True,False,True,True,False,4,0,1,2,0
52945,Red,Win,True,False,True,False,False,True,10,2,0,4,1
52950,Blue,Win,False,False,False,False,True,False,0,0,0,2,0
52955,Red,Loss,True,False,False,False,False,False,0,0,0,0,0
52960,Blue,Win,False,True,False,False,False,False,8,1,1,2,0
52965,Red,Loss,True,False,True,True,True,False,7,1,1,2,0
52970,Blue,Loss,False,False,False,False,False,True,2,0,0,1,1
52975,Red,Win,True,True,False,False,True,False,6,0,0,3,0
52980,Blue,Loss,True,False,False,False,False,True,0,0,0,0,2
52985,Red,Win,False,True,False,False,True,False,4,0,0,3,0
52990,Blue,Loss,False,False,False,False,True,False,1,0,0,1,0
52995,Red,Win,True,True,True,True,False,True,10,2,1,2,2
53000,Blue,Win,True,True,False,True,True,True,6,0,1,4,1
53005,Red,Loss,False,False,False,False,False,False,2,0,0,0,0
53010,Blue,Win,True,True,False,False,True,False,3,0,0,2,0
53015,Red,Loss,False,False,False,False,False,False,1,0,0,0,0
53020,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
53025,Red,Win,True,False,False,False,False,False,0,0,0,0,0
53030,Blue,Win,False,False,True,False,True,False,10,2,0,4,0
53035,Red,Loss,True,True,False,True,False,True,4,0,1,1,2
53040,Blue,Loss,False,True,False,False,False,True,7,0,0,0,1
53045,Red,Win,True,False,True,True,True,False,6,1,1,3,1
53050,Blue,Loss,False,False,False,False,False,False,2,0,0,1,0
53055,Red,Win,True,True,True,False,True,False,11,3,0,2,0
53060,Blue,Win,False,True,True,False,True,False,11,4,0,2,0
53065,Red,Loss,True,False,False,True,False,False,2,0,1,2,0
53070,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
53075,Red,Win,True,True,True,False,True,False,8,1,0,3,0
53080,Blue,Loss,True,False,False,False,False,False,1,0,0,0,0
53085,Red,Win,False,True,True,False,True,False,8,1,0,2,0
53090,Blue,Loss,True,True,False,True,True,False,5,0,1,2,0
53095,Red,Win,False,False,True,False,False,False,10,2,0,1,0
53100,Blue,Loss,False,True,False,False,False,False,2,0,0,0,0
53105,Red,Win,True,False,True,False,True,False,9,2,0,3,0
53110,Blue,Win,True,False,True,True,True,False,11,3,1,2,0
53115,Red,Loss,False,True,False,False,False,False,3,0,0,0,0
53120,Blue,Loss,False,True,False,False,False,False,3,0,0,0,0
53125,Red,Win,True,False,False,False,True,False,3,0,0,1,0
53130,Blue,Win,True,True,True,True,True,True,8,1,1,3,1
53135,Red,Loss,False,False,False,False,False,False,2,0,0,0,0
53140,Blue,Loss,False,False,False,False,False,True,3,0,0,0,1
53145,Red,Win,True,True,True,False,True,False,7,1,0,2,0
53150,Blue,Loss,True,False,False,False,False,False,3,0,0,1,0
53155,Red,Win,False,True,True,False,True,True,11,3,0,3,1
53160,Blue,Win,False,False,True,False,False,False,7,1,0,3,0
53165,Red,Loss,True,True,False,False,True,False,5,0,0,2,0
53170,Blue,Loss,True,False,False,False,True,False,1,0,0,1,0
53175,Red,Win,False,True,True,False,False,True,9,1,0,1,1
53180,Blue,Loss,False,True,False,False,True,True,4,0,0,3,2
53185,Red,Win,True,False,True,True,False,False,6,1,1,1,0
53190,Blue,Loss,False,True,False,False,True,True,2,0,0,3,1
53195,Red,Win,True,False,True,True,False,False,9,2,1,1,1
53200,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
53205,Red,Win,True,True,True,False,True,True,6,1,0,1,1
53210,Blue,Win,False,True,False,False,False,True,2,0,0,1,1
53215,Red,Loss,True,False,False,False,True,False,1,0,0,1,0
53220,Blue,Win,False,True,True,False,True,True,8,1,0,3,1
53225,Red,Loss,True,False,False,False,False,False,0,0,0,0,0
53230,Blue,Loss,True,True,False,False,True,True,5,0,0,2,1
53235,Red,Win,False,False,True,True,False,False,6,1,1,3,0
53240,Blue,Loss,False,False,False,False,False,False,1,0,0,1,0
53245,Red,Win,True,True,True,True,True,True,7,1,1,2,2
53250,Blue,Win,True,True,True,True,True,True,8,1,1,4,2
53255,Red,Loss,False,False,False,False,False,False,3,0,0,0,0
53260,Blue,Loss,False,False,False,False,False,False,1,0,0,0,0
53265,Red,Win,True,True,True,True,True,True,9,1,1,4,2
53270,Blue,Loss,True,False,False,False,False,False,0,0,0,0,0
53275,Red,Win,False,True,True,False,True,True,7,1,0,2,1
53280,Blue,Win,False,True,True,True,False,False,6,1,2,2,0
53285,Red,Loss,True,False,False,False,True,True,2,0,0,2,1
53290,Blue,Loss,True,True,False,False,False,False,3,0,0,1,0
53295,Red,Win,False,False,True,True,True,True,8,1,1,3,2
53300,Blue,Loss,True,False,False,True,True,False,3,0,1,3,0
53305,Red,Win,False,True,False,False,False,True,6,0,1,2,2
53310,Blue,Loss,False,False,False,False,False,False,1,0,0,0,0
53315,Red,Win,True,True,True,False,True,True,5,1,0,2,2
53320,Blue,Win,True,True,True,False,True,True,5,1,0,1,1
53325,Red,Loss,False,False,False,False,False,False,1,0,0,0,0
53330,Blue,Win,True,False,True,False,False,False,7,1,0,3,0
53335,Red,Loss,False,True,False,True,True,True,4,0,1,1,2
53340,Blue,Win,False,True,True,True,True,True,11,4,1,2,2
53345,Red,Loss,True,False,False,False,False,False,5,0,0,2,0
53350,Blue,Win,False,False,True,True,True,False,8,1,1,2,1
53355,Red,Loss,True,True,False,False,False,True,3,0,0,2,1
53360,Blue,Loss,True,False,False,False,False,False,1,0,0,1,0
53365,Red,Win,False,True,True,True,True,True,8,1,1,3,2
53370,Blue,Win,True,True,True,True,False,False,8,1,1,1,0
53375,Red,Loss,False,False,False,False,True,True,1,0,0,2,1
53380,Blue,Loss,False,False,False,False,False,False,0,0,0,1,0
53385,Red,Win,True,True,False,False,True,True,3,0,0,1,1
53390,Blue,Win,True,True,False,True,False,True,6,1,1,0,1
53395,Red,Loss,False,False,True,False,True,False,9,1,0,3,1
53400,Blue,Win,False,True,True,False,True,True,7,1,0,2,2
53405,Red,Loss,True,False,False,False,False,False,0,0,0,0,0
53410,Blue,Loss,False,True,False,False,False,True,5,0,0,1,1
53415,Red,Win,True,False,True,True,True,False,10,1,1,3,0
53420,Blue,Win,True,False,True,True,False,False,7,1,1,1,0
53425,Red,Loss,False,True,False,False,True,True,4,0,0,2,2
53430,Blue,Loss,True,True,False,False,False,False,4,0,0,0,1
53435,Red,Win,False,False,True,True,True,True,11,4,2,4,1
53440,Blue,Win,False,False,True,True,True,True,8,1,2,2,1
53445,Red,Loss,True,True,False,False,False,False,4,0,0,2,0
53450,Blue,Win,False,True,False,False,False,True,5,0,0,2,2
53455,Red,Loss,True,False,False,False,True,False,0,0,0,1,0
53460,Blue,Win,False,True,True,False,True,True,6,1,0,1,1
53465,Red,Loss,True,False,False,False,False,False,0,0,0,0,0
53470,Blue,Loss,True,False,False,False,True,False,1,0,0,1,0
53475,Red,Win,False,True,True,True,False,True,9,2,1,4,1
53480,Blue,Loss,False,False,False,False,True,False,0,0,0,2,0
53485,Red,Win,True,True,False,False,False,False,6,0,0,1,0
53490,Blue,Win,True,False,True,True,True,False,10,2,1,3,1
53495,Red,Loss,False,True,False,False,False,True,3,0,0,2,1
53500,Blue,Loss,False,True,False,False,True,True,4,0,1,4,1
53505,Red,Win,True,False,True,True,False,False,10,4,2,2,0
53510,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
53515,Red,Win,True,True,True,False,True,False,8,1,0,1,0
53520,Blue,Loss,True,False,False,False,False,True,1,0,0,0,1
53525,Red,Win,False,True,True,True,True,False,8,1,1,3,1
53530,Blue,Loss,False,False,False,False,False,True,1,0,0,0,1
53535,Red,Win,True,True,True,True,True,False,10,1,1,3,1
53540,Blue,Win,True,True,False,True,True,True,4,0,1,3,2
53545,Red,Loss,False,False,False,False,False,False,3,0,0,1,0
53550,Blue,Win,True,True,True,True,True,True,10,2,1,3,2
53555,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
53560,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
53565,Red,Win,True,True,True,False,True,True,6,1,0,1,1
53570,Blue,Loss,True,False,False,False,True,True,1,0,0,1,1
53575,Red,Win,False,True,True,True,False,False,11,2,1,3,1
53580,Blue,Loss,False,False,False,False,False,False,0,0,0,0,1
53585,Red,Win,True,True,False,False,True,True,5,0,0,3,1
53590,Blue,Win,True,True,True,True,True,True,7,1,1,3,1
53595,Red,Loss,False,False,False,False,False,False,2,0,0,1,0
53600,Blue,Win,True,True,True,True,True,True,11,4,1,3,2
53605,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
53610,Blue,Win,True,False,True,False,False,False,9,1,0,3,0
53615,Red,Loss,False,True,False,False,True,True,1,0,0,2,1
53620,Blue,Loss,True,True,False,False,False,False,1,0,0,0,0
53625,Red,Win,False,False,False,True,True,True,5,0,1,4,1
53630,Blue,Win,True,False,True,True,False,False,7,1,1,1,1
53635,Red,Loss,False,True,False,False,True,True,3,0,0,3,1
53640,Blue,Loss,False,True,False,False,False,True,4,1,1,2,2
53645,Red,Win,True,False,True,True,True,False,9,3,2,4,0
53650,Blue,Win,True,False,True,False,True,False,9,2,0,4,1
53655,Red,Loss,False,True,False,True,False,True,4,0,2,2,1
53660,Blue,Win,False,False,True,False,True,False,10,2,0,2,1
53665,Red,Loss,True,True,False,True,False,True,3,0,1,2,1
53670,Blue,Loss,False,False,False,False,False,False,3,0,0,1,1
53675,Red,Win,True,True,True,True,True,True,9,1,1,3,1
53680,Blue,Win,True,True,True,False,False,True,7,1,0,2,2
53685,Red,Loss,False,False,False,True,True,False,5,0,1,3,0
53690,Blue,Loss,False,True,False,False,True,False,8,3,1,3,0
53695,Red,Win,True,False,True,True,False,False,10,3,1,2,0
53700,Blue,Win,True,True,False,False,True,False,9,2,0,4,0
53705,Red,Loss,False,False,True,True,False,True,3,1,1,0,2
53710,Blue,Loss,False,False,False,True,False,False,1,0,1,0,0
53715,Red,Win,True,True,False,False,True,True,5,0,0,4,2
53720,Blue,Win,True,True,True,True,True,False,7,1,1,3,0
53725,Red,Loss,False,False,False,False,False,True,2,0,0,0,1
53730,Blue,Win,True,True,True,True,True,True,11,4,1,3,2
53735,Red,Loss,False,False,False,False,False,False,1,0,0,1,0
53740,Blue,Win,True,True,True,False,False,True,9,2,0,0,2
53745,Red,Loss,False,False,False,False,True,False,1,0,0,2,0
53750,Blue,Win,True,True,True,False,False,True,9,2,0,1,1
53755,Red,Loss,False,False,False,False,True,False,0,0,0,1,0
53760,Blue,Loss,True,False,False,False,True,False,1,0,0,2,0
53765,Red,Win,False,True,False,True,False,True,5,0,1,1,2
53770,Blue,Win,False,False,True,True,False,False,7,1,1,2,0
53775,Red,Loss,True,True,False,False,True,False,3,0,0,2,0
53780,Blue,Loss,False,True,False,False,False,True,1,0,0,0,2
53785,Red,Win,True,False,True,True,True,False,7,1,1,3,0
53790,Blue,Loss,True,True,False,False,False,True,5,0,1,1,1
53795,Red,Win,False,False,True,True,True,False,9,1,1,4,0
53800,Blue,Loss,False,False,False,True,True,False,2,0,1,1,0
53805,Red,Win,True,True,True,False,False,True,6,1,0,2,2
53810,Blue,Win,True,True,False,True,False,False,5,0,1,2,0
53815,Red,Loss,False,False,False,False,True,True,0,0,0,1,1
53820,Blue,Loss,False,False,False,False,True,False,1,0,0,1,0
53825,Red,Win,True,True,False,False,False,True,2,0,0,1,1
53830,Blue,Win,True,True,False,True,True,True,6,0,1,3,2
53835,Red,Loss,False,False,False,False,False,False,4,0,0,1,0
53840,Blue,Win,False,True,True,False,True,True,10,2,0,4,2
53845,Red,Loss,True,False,False,True,False,False,0,0,1,0,0
53850,Blue,Win,True,True,False,False,True,True,4,0,0,3,2
53855,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
53860,Blue,Loss,True,False,False,False,True,False,7,1,0,3,1
53865,Red,Win,False,True,True,True,False,True,9,1,1,1,1
53870,Blue,Win,False,False,False,True,False,False,3,0,1,1,0
53875,Red,Loss,True,True,False,False,True,True,1,0,0,2,1
53880,Blue,Loss,True,False,False,False,True,False,3,0,1,4,0
53885,Red,Win,False,True,True,True,False,True,8,2,2,2,2
53890,Blue,Loss,False,True,False,False,True,False,3,0,0,1,0
53895,Red,Win,True,False,False,False,False,True,3,0,0,2,1
53900,Blue,Win,False,False,True,False,False,False,9,1,1,2,0
53905,Red,Loss,True,True,False,True,True,True,4,0,1,3,2
53910,Blue,Win,True,True,True,True,True,True,8,1,1,3,1
53915,Red,Loss,False,False,False,False,False,False,2,0,0,0,0
53920,Blue,Win,False,False,False,False,False,False,6,0,0,1,1
53925,Red,Loss,True,True,False,True,True,True,3,0,1,3,1
53930,Blue,Loss,False,False,False,False,False,True,2,0,0,0,1
53935,Red,Win,True,True,True,True,True,False,9,1,1,3,1
53940,Blue,Loss,True,False,False,False,False,False,4,0,0,1,0
53945,Red,Win,False,True,True,True,True,True,9,1,1,3,2
53950,Blue,Loss,True,False,False,False,False,False,0,0,0,0,0
53955,Red,Win,False,False,False,False,False,False,0,0,0,0,0
53960,Blue,Loss,True,True,False,False,False,False,1,0,0,0,0
53965,Red,Win,False,False,True,False,True,True,4,1,0,2,1
53970,Blue,Win,False,True,False,False,True,False,2,0,0,2,0
53975,Red,Loss,True,False,False,False,False,False,1,0,0,0,0
53980,Blue,Loss,True,False,False,False,True,True,8,1,0,4,2
53985,Red,Win,False,True,True,True,False,False,10,3,1,2,0
53990,Blue,Loss,False,False,False,False,False,False,3,0,0,1,0
53995,Red,Win,True,True,True,True,True,True,11,4,1,4,1
54000,Blue,Loss,True,True,False,True,True,False,3,0,1,1,0
54005,Red,Win,False,False,True,False,False,False,8,1,0,2,0
54010,Blue,Loss,False,False,False,False,True,False,0,0,0,1,0
54015,Red,Win,True,True,False,False,False,False,3,0,0,2,0
54020,Blue,Loss,False,True,False,False,False,False,4,0,0,0,0
54025,Red,Win,True,False,True,False,True,True,10,1,0,4,1
54030,Blue,Loss,True,False,False,False,False,False,2,0,0,2,0
54035,Red,Win,False,True,True,False,True,True,10,2,0,2,1
54040,Blue,Win,False,True,True,False,True,False,8,1,0,4,0
54045,Red,Loss,True,False,False,False,False,True,3,0,0,0,1
54050,Blue,Loss,False,False,False,False,True,False,1,0,0,1,0
54055,Red,Win,True,True,False,False,False,True,5,0,0,1,2
54060,Blue,Win,True,True,True,False,False,True,10,4,0,4,2
54065,Red,Loss,False,False,False,False,True,False,3,0,0,1,0
54070,Blue,Loss,False,False,False,False,True,True,4,1,0,1,1
54075,Red,Win,True,True,True,True,False,False,11,3,1,4,0
54080,Blue,Win,True,True,True,True,True,True,8,2,1,2,1
54085,Red,Loss,False,False,False,False,False,False,3,0,0,2,0
54090,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
54095,Red,Win,True,True,True,False,True,True,6,1,0,3,1
54100,Blue,Loss,False,False,False,True,True,False,4,0,1,1,0
54105,Red,Win,True,True,True,False,False,True,9,1,0,3,2
54110,Blue,Loss,False,False,False,False,True,False,3,0,0,1,0
54115,Red,Win,True,True,True,True,False,True,10,2,1,2,2
54120,Blue,Win,True,True,True,False,False,False,11,3,0,3,0
54125,Red,Loss,False,False,False,True,True,True,4,0,2,2,1
54130,Blue,Loss,False,False,False,False,True,False,2,0,0,1,0
54135,Red,Win,True,True,True,True,False,False,10,2,1,4,0
54140,Blue,Loss,True,False,False,False,True,False,0,0,0,1,0
54145,Red,Win,False,True,True,False,False,True,5,1,0,2,2
54150,Blue,Loss,True,False,False,False,False,False,3,0,0,0,0
54155,Red,Win,False,True,True,True,True,True,9,1,2,4,2
54160,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
54165,Red,Win,True,True,False,False,True,True,2,0,0,2,1
54170,Blue,Win,True,False,True,False,False,True,9,2,0,2,1
54175,Red,Loss,False,True,False,False,True,False,4,0,0,3,1
54180,Blue,Win,True,False,True,False,True,False,8,2,0,2,0
54185,Red,Loss,False,True,False,False,False,True,4,0,0,1,1
54190,Blue,Loss,False,True,False,False,False,False,1,0,0,0,0
54195,Red,Win,True,False,False,False,True,True,3,0,0,3,1
54200,Blue,Win,True,True,True,False,True,True,7,2,0,2,1
54205,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
54210,Blue,Win,False,False,True,False,True,False,8,1,0,2,0
54215,Red,Loss,True,True,False,False,False,True,6,0,0,2,1
54220,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
54225,Red,Win,True,True,False,False,True,False,4,0,0,1,0
54230,Blue,Win,False,False,False,False,True,True,3,0,0,1,1
54235,Red,Loss,True,True,False,False,False,False,2,0,0,1,0
54240,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
54245,Red,Win,True,True,True,False,True,True,7,1,0,3,1
54250,Blue,Loss,False,False,False,False,True,False,0,0,0,1,0
54255,Red,Win,True,True,False,False,False,False,4,0,0,1,0
54260,Blue,Win,True,True,True,False,True,True,11,3,1,4,2
54265,Red,Loss,False,False,False,True,False,False,3,0,1,0,0
54270,Blue,Win,False,True,False,False,False,False,3,0,0,2,0
54275,Red,Loss,True,False,False,False,True,True,2,0,0,1,1
54280,Blue,Loss,False,False,False,False,False,False,1,0,0,0,0
54285,Red,Win,True,True,True,False,True,True,10,1,0,3,2
54290,Blue,Win,True,True,True,False,True,True,11,3,0,3,1
54295,Red,Loss,False,False,False,False,False,False,2,0,0,0,0
54300,Blue,Win,True,True,True,True,True,False,8,1,2,4,0
54305,Red,Loss,False,False,False,False,False,True,5,0,0,2,1
54310,Blue,Loss,True,True,False,False,True,True,5,0,0,2,2
54315,Red,Win,False,False,False,True,False,False,5,0,1,2,0
54320,Blue,Win,True,True,True,True,True,False,8,1,1,4,1
54325,Red,Loss,False,False,False,False,False,True,1,0,0,0,1
54330,Blue,Win,True,True,True,False,True,False,11,4,1,4,0
54335,Red,Loss,False,False,False,True,False,False,5,0,1,1,0
54340,Blue,Win,False,True,True,True,True,True,11,3,1,2,2
54345,Red,Loss,True,False,False,False,False,False,4,0,0,1,0
54350,Blue,Loss,False,True,True,False,True,False,8,2,0,3,0
54355,Red,Win,True,False,False,True,False,True,8,2,1,3,1
54360,Blue,Loss,False,True,False,False,True,False,1,0,0,1,0
54365,Red,Win,True,False,False,False,False,False,3,0,0,1,0
54370,Blue,Win,True,True,True,True,True,False,8,1,1,4,0
54375,Red,Loss,False,False,False,False,False,False,1,0,0,0,0
54380,Blue,Loss,True,False,False,False,True,False,3,0,0,1,0
54385,Red,Win,False,True,False,False,False,False,7,0,0,2,0
54390,Blue,Loss,True,False,False,False,False,True,0,0,0,0,1
54395,Red,Win,False,True,False,False,True,False,3,0,0,2,0
54400,Blue,Win,True,True,True,True,True,True,11,4,1,4,2
54405,Red,Loss,False,False,False,False,False,False,1,0,0,0,0
54410,Blue,Loss,True,True,False,False,False,True,2,0,0,0,1
54415,Red,Win,False,False,False,False,True,False,0,0,0,3,0
54420,Blue,Win,True,True,False,True,True,True,11,3,2,5,1
54425,Red,Loss,False,False,True,False,False,False,7,1,0,0,0
54430,Blue,Win,True,True,False,False,False,False,3,0,0,1,0
54435,Red,Loss,False,False,False,False,True,False,1,0,0,1,0
54440,Blue,Win,True,True,False,False,False,False,3,0,0,1,0
54445,Red,Loss,False,False,False,False,True,False,0,0,0,1,0
54450,Blue,Loss,True,False,False,False,False,False,4,0,0,1,0
54455,Red,Win,False,True,True,True,True,True,8,2,1,4,2
54460,Blue,Loss,True,False,False,False,False,False,4,0,0,1,0
54465,Red,Win,False,True,True,True,True,True,8,2,1,4,2
54470,Blue,Loss,False,False,False,False,True,False,2,0,0,1,0
54475,Red,Win,True,True,False,True,False,True,5,0,1,2,2
54480,Blue,Win,False,True,True,True,True,True,11,3,1,2,1
54485,Red,Loss,True,False,False,False,False,False,2,0,0,3,0
54490,Blue,Win,True,False,False,True,False,False,2,0,1,1,0
54495,Red,Loss,False,True,False,False,True,True,6,0,0,2,1
54500,Blue,Win,True,False,True,False,True,True,9,2,0,3,1
54505,Red,Loss,False,True,False,False,False,False,2,0,0,1,0
54510,Blue,Win,True,False,True,True,True,True,10,2,1,4,1
54515,Red,Loss,False,True,False,False,False,False,4,0,0,2,0
54520,Blue,Loss,True,True,False,False,False,False,3,0,0,1,0
54525,Red,Win,False,False,True,True,True,True,11,3,2,4,2
54530,Blue,Win,True,True,True,True,True,True,9,2,1,3,1
54535,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
54540,Blue,Win,True,False,True,True,True,False,6,1,1,1,0
54545,Red,Loss,False,True,False,False,False,True,6,0,0,3,1
54550,Blue,Win,True,True,False,False,True,False,4,0,0,2,0
54555,Red,Loss,False,False,False,False,False,False,0,0,0,0,0
54560,Blue,Loss,False,False,False,False,False,False,1,0,0,0,0
54565,Red,Win,True,True,False,False,True,True,4,0,0,3,1
54570,Blue,Loss,False,False,False,False,False,True,1,0,0,0,1
54575,Red,Win,True,True,True,False,True,False,5,1,0,3,1
54580,Blue,Loss,True,False,False,False,True,False,0,0,0,1,0
54585,Red,Win,False,True,True,False,False,False,8,1,0,1,0
54590,Blue,Loss,True,False,False,False,True,False,0,0,0,1,0
54595,Red,Win,False,True,False,False,False,True,5,0,0,1,2
54600,Blue,Win,True,True,True,True,True,True,8,1,1,4,1
54605,Red,Loss,False,False,False,False,False,False,2,0,0,0,0
54610,Blue,Loss,False,False,False,False,False,True,1,0,0,0,2
54615,Red,Win,True,True,False,False,True,False,7,0,0,2,0
54620,Blue,Win,True,True,True,True,False,True,11,5,1,3,1
54625,Red,Loss,False,False,False,False,True,False,0,0,0,1,0
54630,Blue,Win,True,True,True,True,False,False,9,1,1,2,1
54635,Red,Loss,False,False,False,False,True,True,2,0,0,3,1
54640,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
54645,Red,Win,True,True,False,False,True,True,3,0,0,2,1
54650,Blue,Loss,True,False,True,False,False,False,7,1,0,1,0
54655,Red,Win,False,True,False,True,True,True,9,2,1,3,2
54660,Blue,Loss,False,False,False,False,True,False,3,0,0,2,0
54665,Red,Win,True,True,True,False,False,False,8,1,0,1,0
54670,Blue,Loss,False,False,False,False,False,False,3,0,0,0,0
54675,Red,Win,True,True,True,True,True,True,11,3,1,5,1
54680,Blue,Win,True,True,True,False,True,True,8,2,0,2,1
54685,Red,Loss,False,False,False,False,False,False,1,0,0,0,0
54690,Blue,Loss,False,False,False,False,False,False,0,0,0,0,0
54695,Red,Win,True,True,True,True,True,False,9,2,1,3,0
54700,Blue,Loss,True,False,False,False,False,True,4,0,0,1,1
54705,Red,Win,False,True,True,True,True,False,9,1,1,4,0
54710,Blue,Loss,False,True,False,True,False,True,6,0,1,3,1
54715,Red,Win,True,False,True,False,True,False,10,1,0,3,0
54720,Blue,Win,False,False,True,True,True,False,10,1,2,4,1
54725,Red,Loss,True,True,False,False,False,True,1,0,0,0,1
54730,Blue,Win,True,False,False,False,True,False,1,0,0,1,0
54735,Red,Loss,False,True,False,False,False,False,2,0,0,1,0
54740,Blue,Win,True,True,False,False,False,False,4,0,0,2,0
54745,Red,Loss,False,False,False,False,True,True,3,0,0,1,2
54750,Blue,Win,False,False,True,False,False,False,6,1,0,2,0
54755,Red,Loss,True,True,False,False,True,False,3,0,0,1,0
54760,Blue,Loss,True,True,True,False,True,True,10,2,0,3,1
54765,Red,Win,False,False,False,True,False,False,5,0,2,2,0
54770,Blue,Win,False,True,True,False,True,True,11,2,0,3,1
54775,Red,Loss,True,False,False,False,False,False,0,0,0,0,0
